homestatecode,salestatecode,month,year,txn_count,salestatename,homestatename
08,27,1,2020,1,MAHARASHTRA,RAJASTHAN
24,27,1,2020,9,MAHARASHTRA,GUJARAT
36,27,1,2020,2,MAHARASHTRA,TELANGANA
27,30,1,2020,6,GOA,MAHARASHTRA
27,32,1,2020,4,KERALA,MAHARASHTRA
27,36,1,2020,68,TELANGANA,MAHARASHTRA
08,06,2,2020,3,HARYANA,RAJASTHAN
30,06,2,2020,1,HARYANA,GOA
06,11,2,2020,2,SIKKIM,HARYANA
23,24,2,2020,6,GUJARAT,MADHYA PRADESH
27,24,2,2020,2,GUJARAT,MAHARASHTRA
03,06,3,2020,1,HARYANA,PUNJAB
06,08,3,2020,3,RAJASTHAN,HARYANA
09,10,3,2020,1,BIHAR,UTTAR PRADESH
08,24,3,2020,1,GUJARAT,RAJASTHAN
28,36,3,2020,345,TELANGANA,ANDHRA PRADESH
27,20,4,2020,1,JHARKHAND,MAHARASHTRA
29,28,4,2020,1,ANDHRA PRADESH,KARNATAKA
27,29,4,2020,1,KARNATAKA,MAHARASHTRA
27,36,4,2020,61,TELANGANA,MAHARASHTRA
11,05,5,2020,22,UTTARAKHAND,SIKKIM
10,20,5,2020,3,JHARKHAND,BIHAR
11,21,5,2020,5,ODISHA,SIKKIM
09,27,5,2020,15,MAHARASHTRA,UTTAR PRADESH
36,28,5,2020,29,ANDHRA PRADESH,TELANGANA
11,30,5,2020,1,GOA,SIKKIM
13,30,5,2020,2,GOA,NAGALAND
27,30,5,2020,3,GOA,MAHARASHTRA
09,32,5,2020,1,KERALA,UTTAR PRADESH
06,01,6,2020,1,JAMMU AND KASHMIR,HARYANA
23,09,6,2020,2,UTTAR PRADESH,MADHYA PRADESH
36,09,6,2020,4,UTTAR PRADESH,TELANGANA
09,23,6,2020,1,MADHYA PRADESH,UTTAR PRADESH
23,24,6,2020,2,GUJARAT,MADHYA PRADESH
09,29,6,2020,2,KARNATAKA,UTTAR PRADESH
29,32,6,2020,89,KERALA,KARNATAKA
09,01,7,2020,391,JAMMU AND KASHMIR,UTTAR PRADESH
23,01,7,2020,6,JAMMU AND KASHMIR,MADHYA PRADESH
06,05,7,2020,1,UTTARAKHAND,HARYANA
09,05,7,2020,25,UTTARAKHAND,UTTAR PRADESH
09,06,7,2020,80,HARYANA,UTTAR PRADESH
10,06,7,2020,25,HARYANA,BIHAR
06,09,7,2020,57,UTTAR PRADESH,HARYANA
24,09,7,2020,20,UTTAR PRADESH,GUJARAT
27,09,7,2020,469,UTTAR PRADESH,MAHARASHTRA
06,22,7,2020,12,CHHATTISGARH,HARYANA
06,24,7,2020,1,GUJARAT,HARYANA
08,24,7,2020,5,GUJARAT,RAJASTHAN
09,27,7,2020,28,MAHARASHTRA,UTTAR PRADESH
09,30,7,2020,17,GOA,UTTAR PRADESH
06,31,7,2020,16,LAKSHADWEEP,HARYANA
24,32,7,2020,1,KERALA,GUJARAT
20,35,7,2020,1,ANDAMAN AND NICOBAR ISLANDS,JHARKHAND
27,36,7,2020,12,TELANGANA,MAHARASHTRA
09,01,8,2020,164,JAMMU AND KASHMIR,UTTAR PRADESH
10,01,8,2020,14,JAMMU AND KASHMIR,BIHAR
06,03,8,2020,3,PUNJAB,HARYANA
20,06,8,2020,1,HARYANA,JHARKHAND
24,09,8,2020,22,UTTAR PRADESH,GUJARAT
27,20,8,2020,1,JHARKHAND,MAHARASHTRA
20,24,8,2020,1,GUJARAT,JHARKHAND
32,30,8,2020,1,GOA,KERALA
06,37,8,2020,2,LADAKH,HARYANA
10,01,9,2020,14,JAMMU AND KASHMIR,BIHAR
01,03,9,2020,1,PUNJAB,JAMMU AND KASHMIR
10,05,9,2020,1,UTTARAKHAND,BIHAR
